series_id,year,period,value,Seasonally Adjusted,Measure,Area
LAUST010000000000003          ,2020,M01,         3.1,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M02,         2.8,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M03,         2.8,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M04,        12.7,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M05,         7.6,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M06,         8.0,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M07,         7.9,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M08,         7.3,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M09,         6.8,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M10,         4.3,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M11,         3.8,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M12,         3.5,False,Unemployment Rate,1
LAUST010000000000003          ,2020,M13,         5.9,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M01,         4.0,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M02,         3.7,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M03,         3.4,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M04,         2.9,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M05,         2.9,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M06,         3.7,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M07,         3.4,False,Unemployment Rate,1
LAUST010000000000003          ,2021,M08,         3.4,False,Unemployment Rate,1
LAUST010000000000004          ,2020,M01,       69939,False,Unemployment,1
LAUST010000000000004          ,2020,M02,       62212,False,Unemployment,1
LAUST010000000000004          ,2020,M03,       61666,False,Unemployment,1
LAUST010000000000004          ,2020,M04,      276037,False,Unemployment,1
LAUST010000000000004          ,2020,M05,      168304,False,Unemployment,1
LAUST010000000000004          ,2020,M06,      179051,False,Unemployment,1
LAUST010000000000004          ,2020,M07,      177309,False,Unemployment,1
LAUST010000000000004          ,2020,M08,      163319,False,Unemployment,1
LAUST010000000000004          ,2020,M09,      151290,False,Unemployment,1
LAUST010000000000004          ,2020,M10,       98147,False,Unemployment,1
LAUST010000000000004          ,2020,M11,       86643,False,Unemployment,1
LAUST010000000000004          ,2020,M12,       78752,False,Unemployment,1
LAUST010000000000004          ,2020,M13,      131056,False,Unemployment,1
LAUST010000000000004          ,2021,M01,       90217,False,Unemployment,1
LAUST010000000000004          ,2021,M02,       83386,False,Unemployment,1
LAUST010000000000004          ,2021,M03,       75788,False,Unemployment,1
LAUST010000000000004          ,2021,M04,       65092,False,Unemployment,1
LAUST010000000000004          ,2021,M05,       63436,False,Unemployment,1
LAUST010000000000004          ,2021,M06,       81484,False,Unemployment,1
LAUST010000000000004          ,2021,M07,       76058,False,Unemployment,1
LAUST010000000000004          ,2021,M08,       76347,False,Unemployment,1
LAUST010000000000005          ,2020,M01,     2155478,False,Employment,1
LAUST010000000000005          ,2020,M02,     2174486,False,Employment,1
LAUST010000000000005          ,2020,M03,     2165460,False,Employment,1
LAUST010000000000005          ,2020,M04,     1899457,False,Employment,1
LAUST010000000000005          ,2020,M05,     2042836,False,Employment,1
LAUST010000000000005          ,2020,M06,     2057711,False,Employment,1
LAUST010000000000005          ,2020,M07,     2059083,False,Employment,1
LAUST010000000000005          ,2020,M08,     2071310,False,Employment,1
LAUST010000000000005          ,2020,M09,     2062355,False,Employment,1
LAUST010000000000005          ,2020,M10,     2164672,False,Employment,1
LAUST010000000000005          ,2020,M11,     2174298,False,Employment,1
LAUST010000000000005          ,2020,M12,     2161600,False,Employment,1
LAUST010000000000005          ,2020,M13,     2099062,False,Employment,1
LAUST010000000000005          ,2021,M01,     2138693,False,Employment,1
LAUST010000000000005          ,2021,M02,     2145168,False,Employment,1
LAUST010000000000005          ,2021,M03,     2138166,False,Employment,1
LAUST010000000000005          ,2021,M04,     2157702,False,Employment,1
LAUST010000000000005          ,2021,M05,     2145334,False,Employment,1
LAUST010000000000005          ,2021,M06,     2119805,False,Employment,1
LAUST010000000000005          ,2021,M07,     2150858,False,Employment,1
LAUST010000000000005          ,2021,M08,     2140709,False,Employment,1
LAUST010000000000006          ,2020,M01,     2225417,False,Labor Force,1
LAUST010000000000006          ,2020,M02,     2236698,False,Labor Force,1
LAUST010000000000006          ,2020,M03,     2227126,False,Labor Force,1
LAUST010000000000006          ,2020,M04,     2175494,False,Labor Force,1
LAUST010000000000006          ,2020,M05,     2211140,False,Labor Force,1
LAUST010000000000006          ,2020,M06,     2236762,False,Labor Force,1
LAUST010000000000006          ,2020,M07,     2236392,False,Labor Force,1
LAUST010000000000006          ,2020,M08,     2234629,False,Labor Force,1
LAUST010000000000006          ,2020,M09,     2213645,False,Labor Force,1
LAUST010000000000006          ,2020,M10,     2262819,False,Labor Force,1
LAUST010000000000006          ,2020,M11,     2260941,False,Labor Force,1
LAUST010000000000006          ,2020,M12,     2240352,False,Labor Force,1
LAUST010000000000006          ,2020,M13,     2230118,False,Labor Force,1
LAUST010000000000006          ,2021,M01,     2228910,False,Labor Force,1
LAUST010000000000006          ,2021,M02,     2228554,False,Labor Force,1
LAUST010000000000006          ,2021,M03,     2213954,False,Labor Force,1
LAUST010000000000006          ,2021,M04,     2222794,False,Labor Force,1
LAUST010000000000006          ,2021,M05,     2208770,False,Labor Force,1
LAUST010000000000006          ,2021,M06,     2201289,False,Labor Force,1
LAUST010000000000006          ,2021,M07,     2226916,False,Labor Force,1
LAUST010000000000006          ,2021,M08,     2217056,False,Labor Force,1
LAUST010000000000007          ,2020,M01,        55.6,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M02,        56.1,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M03,        55.8,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M04,        49.0,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M05,        52.7,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M06,        53.0,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M07,        53.1,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M08,        53.4,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M09,        53.1,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M10,        55.7,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M11,        55.9,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M12,        55.6,False,Employment-Population Ratio,1
LAUST010000000000007          ,2020,M13,        54.1,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M01,        55.0,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M02,        55.1,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M03,        54.9,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M04,        55.4,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M05,        55.1,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M06,        54.4,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M07,        55.2,False,Employment-Population Ratio,1
LAUST010000000000007          ,2021,M08,        54.9,False,Employment-Population Ratio,1
LAUST010000000000008          ,2020,M01,        57.4,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M02,        57.7,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M03,        57.4,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M04,        56.1,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M05,        57.0,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M06,        57.6,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M07,        57.6,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M08,        57.6,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M09,        57.0,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M10,        58.2,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M11,        58.2,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M12,        57.6,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2020,M13,        57.5,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M01,        57.3,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M02,        57.3,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M03,        56.9,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M04,        57.1,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M05,        56.7,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M06,        56.5,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M07,        57.1,False,Labor Force Participation Rate,1
LAUST010000000000008          ,2021,M08,        56.8,False,Labor Force Participation Rate,1
LAUST010000000000009          ,2020,M01,     3876526,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M02,     3877055,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M03,     3878006,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M04,     3879108,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M05,     3879383,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M06,     3879980,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M07,     3880648,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M08,     3882472,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M09,     3884533,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M10,     3886383,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M11,     3887946,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M12,     3889304,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2020,M13,     3881779,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M01,     3890500,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M02,     3891139,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M03,     3892132,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M04,     3893328,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M05,     3894723,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M06,     3896335,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M07,     3898028,False,Civilian Non-Institutional Population,1
LAUST010000000000009          ,2021,M08,     3899874,False,Civilian Non-Institutional Population,1
LAUST020000000000003          ,2020,M01,         5.4,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M02,         5.2,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M03,         6.2,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M04,        12.4,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M05,        12.0,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M06,        11.2,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M07,        10.2,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M08,         6.2,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M09,         6.5,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M10,         5.9,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M11,         6.3,False,Unemployment Rate,2
LAUST020000000000003          ,2020,M12,         6.6,False,Unemployment Rate,2
